country,confirmed,deaths,recovered,population,continent,fatality_rate,cases_per_million,deaths_per_million
Libya,84810,1920,17310,6880353,Africa,2.26,12326.40,279.06
Moldova,694620,22440,484620,4032983,Europe,3.23,172234.79,5564.12
Liberia,35010,2160,19380,5068618,Africa,6.17,6907.21,426.15
Ethiopia,436410,6840,191580,115223736,Africa,1.57,3787.50,59.36
Philippines,2461200,58350,793380,109722719,Asia,2.37,22431.09,531.80
Haiti,220200,4740,130950,11416103,North America,2.15,19288.54,415.20
Kenya,539250,8550,234990,53881160,Africa,1.59,10008.14,158.68
Tunisia,43650,1500,34710,11830801,Africa,3.44,3689.52,126.79
Cambodia,6780,0,4410,16741375,Asia,0.00,404.98,0.00
Germany,6213360,273750,5709420,83811260,Europe,4.41,74135.15,3266.27
Togo,26220,540,18210,8296582,Africa,2.06,3160.34,65.09
Oman,2311740,11790,1710840,5118446,Asia,0.51,451648.80,2303.43
Turkey,6810570,168900,6314070,84428331,Asia,2.48,80666.88,2000.51
Peru,11691510,552540,8176410,33016319,South America,4.73,354113.07,16735.36
Mongolia,8670,0,6660,3283344,Asia,0.00,2640.60,0.00
Honduras,1192230,34980,151170,9919704,North America,2.93,120188.06,3526.31
Nepal,562560,1440,412620,29186486,Asia,0.26,19274.67,49.34
South Sudan,69150,1380,35250,11206572,Africa,2.00,6170.49,123.14
Armenia,1121700,21330,799950,2963811,Asia,1.90,378465.43,7196.82
Paraguay,136440,1290,87150,7141091,South America,0.95,19106.32,180.64
Colombia,7713030,263310,3934830,50936262,South America,3.41,151425.13,5169.40
Zimbabwe,81120,1080,16260,14883803,Africa,1.33,5450.22,72.56
Papua New Guinea,1860,0,330,8963009,Australia/Oceania,0.00,207.52,0.00
Tanzania,15270,630,5490,59886383,Africa,4.13,254.98,10.52
Rwanda,56370,150,29250,12981546,Africa,0.27,4342.32,11.55
Barbados,3300,210,2820,287411,North America,6.36,11481.82,730.66
North Macedonia,306390,13980,166920,2083365,Europe,4.56,147064.96,6710.30
Monaco,3480,120,3120,39270,Europe,3.45,88617.27,3055.77
Burundi,11340,30,9030,11922216,Africa,0.26,951.17,2.52
Tajikistan,217050,1800,180840,9557468,Asia,0.83,22709.99,188.33
Italy,7388580,1053360,5957790,60452568,Europe,14.26,122221.11,17424.57
Zambia,136560,4200,84450,18430129,Africa,3.08,7409.61,227.89
Norway,273960,7650,262560,5425471,Europe,2.79,50495.16,1410.02
Ireland,776760,52920,700920,4943200,Europe,6.81,157137.08,10705.62
Jamaica,25590,300,21420,2962478,North America,1.17,8638.04,101.27
Egypt,2774460,139560,1045140,102516525,Africa,5.03,27063.54,1361.34
New Zealand,46710,660,45420,5002100,Australia/Oceania,1.41,9338.08,131.94
Comoros,10620,210,9840,871326,Africa,1.98,12188.32,241.01
Benin,53100,1050,31080,12151976,Africa,1.98,4369.66,86.41
Ghana,1008720,5040,894030,31133483,Africa,0.50,32399.84,161.88
Suriname,44490,720,27750,587154,South America,1.62,75772.28,1226.25
Bulgaria,318630,10410,167550,6942854,Europe,3.27,45893.23,1499.38
Iraq,3377550,133740,2314320,40306025,Asia,3.96,83797.65,3318.11
Mexico,11864670,1320660,9114300,129066160,North America,11.13,91927.04,10232.43
Maldives,101070,450,76410,541448,Asia,0.45,186666.12,831.10
Andorra,27210,1560,24090,77278,Europe,5.73,352105.39,20186.86
Argentina,5022480,91770,2177250,45236884,South America,1.83,111026.21,2028.65
Bahrain,1184460,4230,1083300,1706669,Asia,0.36,694018.58,2478.51
Latvia,36570,930,31350,1883936,Europe,2.54,19411.49,493.65
El Salvador,451050,12240,233340,6489514,North America,2.71,69504.43,1886.12
Botswana,22170,60,1890,2356075,Africa,0.27,9409.72,25.47
Austria,616740,21390,547380,9011577,Europe,3.47,68438.63,2373.61
Mauritania,186240,4680,139590,4660728,Africa,2.51,39959.42,1004.13
Greenland,420,0,390,56780,North America,0.00,7396.97,0.00
Mozambique,51030,330,0,31333962,Africa,0.65,1628.58,10.53
Russia,24500400,400020,18067470,145940924,Europe,1.63,167878.89,2740.97
Georgia,34110,480,27660,3988368,Asia,1.41,8552.37,120.35
Dominica,540,0,540,72004,North America,0.00,7499.58,0.00
Bolivia,2135430,79410,644340,11688459,South America,3.72,182695.60,6793.88
Guatemala,1359270,52830,973650,17946899,North America,3.89,75738.43,2943.68
Ukraine,2012880,49080,1116060,43705858,Europe,2.44,46055.15,1122.96
Western Sahara,300,30,240,598682,Africa,10.00,501.10,50.11
Serbia,724230,16290,0,8733665,Europe,2.25,82923.95,1865.20
Chad,27660,2250,24300,16467965,Africa,8.13,1679.62,136.63
Kyrgyzstan,998880,39030,636150,6534479,Asia,3.91,152862.99,5972.93
Djibouti,151770,1740,149310,989387,Africa,1.15,153398.01,1758.66
Saint Kitts and Nevis,510,0,450,53237,North America,0.00,9579.80,0.00
Nigeria,1235400,25800,546090,206606300,Africa,2.09,5979.49,124.88
Costa Rica,475230,3450,114720,5098730,North America,0.73,93205.56,676.64
Estonia,61020,2070,57690,1326627,Europe,3.39,45996.35,1560.35
Poland,1302060,50280,985680,37842302,Europe,3.86,34407.53,1328.67
Timor-Leste,720,0,0,1320812,Asia,0.00,545.12,0.00
Liechtenstein,2580,30,2430,38139,Europe,1.16,67647.29,786.60
Afghanistan,1087890,38070,755940,39009447,Asia,3.50,27887.86,975.92
Finland,221940,9870,207600,5541604,Europe,4.45,40049.78,1781.07
Cabo Verde,69840,660,46500,556581,Africa,0.95,125480.39,1185.81
Somalia,95880,2790,46290,15933012,Africa,2.91,6017.69,175.11
Brazil,73271250,2628540,55399230,212710692,South America,3.59,344464.35,12357.35
Indonesia,3009090,145140,1745190,273808365,Asia,4.82,10989.77,530.08
Antigua and Barbuda,2580,90,1950,98010,North America,3.49,26323.84,918.27
Seychelles,3420,0,1170,98408,Africa,0.00,34753.27,0.00
Equatorial Guinea,92130,1530,25260,1407001,Africa,1.66,65479.70,1087.42
Czechia,465480,11190,342840,10711019,Europe,2.40,43458.05,1044.72
Belarus,2017530,16140,1814760,9449001,Europe,0.80,213517.81,1708.12
Slovenia,62610,3480,51990,2078968,Europe,5.56,30115.90,1673.91
Luxembourg,189630,3360,144750,626952,Europe,1.77,302463.35,5359.26
Cyprus,31800,570,25560,1208238,Asia,1.79,26319.32,471.76
Namibia,55290,240,3030,2545264,Africa,0.43,21722.70,94.29
Dominican Republic,1924680,32490,906120,10858648,North America,1.69,177248.59,2992.09
Belgium,1992840,294660,523560,11594739,Europe,14.79,171874.50,25413.25
Belize,1440,60,780,398312,North America,4.17,3615.26,150.64
Switzerland,1034310,59340,927000,8660952,Europe,5.74,119422.21,6851.44
Montenegro,86790,1350,24270,628074,Europe,1.56,138184.35,2149.43
South Africa,13575870,212010,8247750,59381566,Africa,1.56,228620.95,3570.30
Laos,600,0,570,7285750,Asia,0.00,82.35,0.00
Slovakia,65430,840,48480,5459915,Europe,1.28,11983.70,153.85
Japan,934260,29940,659100,126435859,Asia,3.20,7389.20,236.80
Canada,3493740,268320,0,37775022,North America,7.68,92488.10,7103.11
Pakistan,8228670,175260,7230780,221295851,Asia,2.13,37184.02,791.97
Israel,1919550,14220,813990,9197590,Asia,0.74,208701.41,1546.06
Syria,20220,1200,0,17539600,Asia,5.93,1152.82,68.42
Sao Tome and Principe,25950,420,22020,219544,Africa,1.62,118199.54,1913.06
France,6610560,906360,2436360,65288306,Europe,13.71,101251.82,13882.42
Greece,126810,6060,41220,10417673,Europe,4.78,12172.58,581.70
Denmark,412830,18390,378150,5794279,Europe,4.45,71247.86,3173.82
Eritrea,7950,0,5730,3551175,Africa,0.00,2238.70,0.00
Gabon,215670,1470,140460,2230563,Africa,0.68,96688.59,659.03
Uzbekistan,636270,3630,350220,33516027,Asia,0.57,18984.05,108.31
Romania,1377060,66180,773820,19224023,Europe,4.81,71632.25,3442.57
Nicaragua,103170,3240,74760,6632263,North America,3.14,15555.78,488.52
Guyana,11670,600,5430,786936,South America,5.14,14829.67,762.45
Venezuela,479640,4380,298770,28427499,South America,0.91,16872.40,154.08
Netherlands,1602390,184800,5670,17138756,Europe,11.53,93495.12,10782.58
Hungary,133440,17880,99870,9657785,Europe,13.40,13816.83,1851.36
Iran,8808180,477360,7654320,84097623,Asia,5.42,104737.56,5676.26
Sudan,342720,21600,178170,43943536,Africa,6.30,7799.10,491.54
Cameroon,513300,11730,436170,26606188,Africa,2.29,19292.50,440.87
Mali,75390,3720,57390,20302901,Africa,4.93,3713.26,183.23
Kuwait,1931370,13140,1651710,4276658,Asia,0.68,451607.31,3072.49
Kazakhstan,2539440,17550,1632120,18798667,Asia,0.69,135086.17,933.58
Mauritius,10320,300,9960,1271985,Africa,2.91,8113.30,235.85
Malawi,109920,2970,49350,19174839,Africa,2.70,5732.51,154.89
Saint Lucia,720,0,660,183712,North America,0.00,3919.18,0.00
Croatia,146430,4170,118080,4102577,Europe,2.85,35692.20,1016.43
Portugal,1508970,51570,1061250,10193593,Europe,3.42,148031.22,5059.06
Trinidad and Tobago,4440,240,3840,1399950,North America,5.41,3171.54,171.43
San Marino,20970,1260,19710,33938,Europe,6.01,617891.45,37126.52
Grenada,690,0,690,112576,North America,0.00,6129.19,0.00
Saudi Arabia,8068020,82800,6688080,34865919,Asia,1.03,231401.33,2374.81
Uruguay,36060,1050,28530,3474956,South America,2.91,10377.11,302.16
Sierra Leone,53490,1980,39510,7992169,Africa,3.70,6692.80,247.74
Burkina Faso,33000,1590,27780,20954852,Africa,4.82,1574.81,75.88
Algeria,839190,34890,565110,43926079,Africa,4.16,19104.60,794.29
Lithuania,60570,2400,48600,2718121,Europe,3.96,22283.78,882.96
Jordan,35280,330,31230,10213138,Asia,0.94,3454.37,32.31
Angola,28500,1230,7260,32956300,Africa,4.32,864.78,37.32
Yemen,50730,14490,24990,29886897,Asia,28.56,1697.40,484.83
Singapore,1525140,810,1370760,5854932,Asia,0.05,260488.08,138.34
Vietnam,12930,0,10950,97425470,Asia,0.00,132.72,0.00
Bangladesh,6786750,88950,3770490,164851401,Asia,1.31,41168.89,539.58
Australia,459090,5010,279330,25528864,Australia/Oceania,1.09,17983.17,196.25
Eswatini,69480,1020,30750,1161348,Africa,1.47,59827.03,878.29
Sri Lanka,84150,330,63630,21422362,Asia,0.39,3928.14,15.40
Bosnia and Herzegovina,314940,8820,147900,3278650,Europe,2.80,96057.83,2690.13
Bhutan,2970,0,2580,772443,Asia,0.00,3844.94,0.00
Albania,146400,4320,82350,2877470,Europe,2.95,50878.03,1501.32
Thailand,98910,1740,93330,69817894,Asia,1.76,1416.69,24.92
India,44402190,1002240,28534980,1381344997,Asia,2.26,32144.17,725.55
Bahamas,11460,330,2730,393616,North America,2.88,29114.67,838.38
Fiji,810,0,540,897095,Australia/Oceania,0.00,902.91,0.00
Malta,21030,270,19950,441663,Europe,1.28,47615.49,611.33
Lebanon,116460,1530,51270,6822220,Asia,1.31,17070.69,224.27
Uganda,33840,60,29580,45867852,Africa,0.18,737.77,1.31
Niger,33960,2070,30810,24281433,Africa,6.10,1398.60,85.25
Ecuador,2434830,165960,1046880,17668824,South America,6.82,137803.74,9392.82
Lesotho,15150,360,3840,2143943,Africa,2.38,7066.42,167.91
Qatar,3287910,4950,3189840,2807805,Asia,0.15,1170989.44,1762.94
Cuba,75960,2610,70530,11325899,North America,3.44,6706.75,230.45
Guinea,211650,1350,187710,13164905,Africa,0.64,16076.83,102.55
Senegal,292920,5820,194310,16783877,Africa,1.99,17452.46,346.76
Azerbaijan,913380,12690,697260,10148243,Asia,1.39,90003.76,1250.46
Spain,8172630,852960,4511280,46756648,Europe,10.44,174790.76,18242.54
Gambia,9780,240,1980,2422754,Africa,2.45,4036.73,99.06
Sweden,2381850,171000,0,10105596,Europe,7.18,235696.14,16921.32
Chile,10437690,275610,9598620,19132514,South America,2.64,545547.23,14405.32
Guinea-Bissau,58620,780,24090,1972277,Africa,1.33,29721.99,395.48
Morocco,626610,9480,496590,36953359,Africa,1.51,16956.78,256.54
Malaysia,267120,3720,258030,32406372,Asia,1.39,8242.82,114.79
Panama,1843260,39660,1052580,4321282,North America,2.15,426553.97,9177.83
Madagascar,290700,2730,187800,27755708,Africa,0.94,10473.52,98.36
Iceland,55620,300,54690,341465,Europe,0.54,162886.39,878.57
